replicate,model,test_rmse,test_mae,test_r2,test_n,test_missing_rows,test_error
replicate_0,model_0,0.14920193268340123,0.094974425,0.9446494187964555,121,0,keys_aligned
replicate_1,model_0,0.14579158325387231,0.09056634665289254,0.9401277188758785,121,0,keys_aligned
replicate_2,model_0,0.16104103336571454,0.0947147482644628,0.9413794913920834,121,0,keys_aligned
replicate_3,model_0,0.3082428439801319,0.14233510247933884,0.6875455020559094,121,0,keys_aligned
replicate_4,model_0,0.17517292039415708,0.10583833542148759,0.9060882843058178,121,0,keys_aligned
replicate_5,model_0,0.1973085501619087,0.10621132575619834,0.9075006254018089,121,0,keys_aligned
replicate_6,model_0,0.1804462936857651,0.09390355521487602,0.9120088903301029,121,0,keys_aligned
replicate_7,model_0,0.2289241249879031,0.14089841595041322,0.8869469362468281,121,0,keys_aligned
replicate_8,model_0,0.20199716249904065,0.11055157115833333,0.8774930843497787,120,0,keys_aligned
replicate_9,model_0,0.1392718820766157,0.09484837416666668,0.942140854837268,120,0,keys_aligned
