replicate,model,test_rmse,test_mae,test_r2,test_n,test_missing_rows,test_error
replicate_0,model_0,0.12556842184279962,0.08445944358677687,0.9607956588256727,121,0,keys_aligned
replicate_0,model_1,0.12754164176184177,0.08759504857024793,0.9595538401361109,121,0,keys_aligned
replicate_0,model_2,0.13693194796752714,0.0940571489752066,0.9533788630242205,121,0,keys_aligned
replicate_0,model_3,0.12078823398479627,0.08146086917355372,0.963723736224932,121,0,keys_aligned
replicate_0,model_4,0.1259583244105718,0.08518700214049586,0.960551813993456,121,0,keys_aligned
replicate_1,model_0,0.13978862444334972,0.08799261183123967,0.9449566873372552,121,0,keys_aligned
replicate_1,model_1,0.14574268257405137,0.09071755550413224,0.9401678762590536,121,0,keys_aligned
replicate_1,model_2,0.1454670017266307,0.09217401876033057,0.9403940141352082,121,0,keys_aligned
replicate_1,model_3,0.1303235527507552,0.08098621423966941,0.95215828694195,121,0,keys_aligned
replicate_1,model_4,0.141934727247339,0.08934386892561982,0.9432536103955159,121,0,keys_aligned
replicate_2,model_0,0.17140170789540232,0.09383760326446283,0.9335940835071287,121,0,keys_aligned
replicate_2,model_1,0.18498096550424897,0.09899468604958678,0.9226552983288381,121,0,keys_aligned
replicate_2,model_2,0.18157821549810096,0.09519344964297521,0.9254746589517662,121,0,keys_aligned
replicate_2,model_3,0.17700268906344016,0.0953311096733058,0.92918321384802,121,0,keys_aligned
replicate_2,model_4,0.1754493730184746,0.10431216178512395,0.9304206886630871,121,0,keys_aligned
replicate_3,model_0,0.2737958638114441,0.13815019746280996,0.7534786479335899,121,0,keys_aligned
replicate_3,model_1,0.2812865019409313,0.15135671561157024,0.7398052320763921,121,0,keys_aligned
replicate_3,model_2,0.2718422611902015,0.1279290892892562,0.7569840812672191,121,0,keys_aligned
replicate_3,model_3,0.2646215081238875,0.13782690114049587,0.7697227388831086,121,0,keys_aligned
replicate_3,model_4,0.2780617004521072,0.13566926937190085,0.7457370253509237,121,0,keys_aligned
replicate_4,model_0,0.17615705534644702,0.10321527366694212,0.9050301136932083,121,0,keys_aligned
replicate_4,model_1,0.17355613875375425,0.1018952626033058,0.9078138255369023,121,0,keys_aligned
replicate_4,model_2,0.17272405465170576,0.1009287799090909,0.908695647090887,121,0,keys_aligned
replicate_4,model_3,0.17731371527833206,0.10310606850413223,0.9037788609800719,121,0,keys_aligned
replicate_4,model_4,0.17108531225936072,0.10447452467768596,0.910419952645789,121,0,keys_aligned
replicate_5,model_0,0.1873555146506493,0.09757345406280993,0.9165973313396666,121,0,keys_aligned
replicate_5,model_1,0.19961189127284776,0.10328949620661157,0.905328380880722,121,0,keys_aligned
replicate_5,model_2,0.19987044814442567,0.10202357371900826,0.9050829661345314,121,0,keys_aligned
replicate_5,model_3,0.19697614541651015,0.10177122108595042,0.9078120293544815,121,0,keys_aligned
replicate_5,model_4,0.21228994922574443,0.10394940506611569,0.8929206189831057,121,0,keys_aligned
replicate_6,model_0,0.14992520208038573,0.08746724161157025,0.9392575719333764,121,0,keys_aligned
replicate_6,model_1,0.15756293564840476,0.09272099128925622,0.9329110507636672,121,0,keys_aligned
replicate_6,model_2,0.14808221129482205,0.08566346679338845,0.9407417742122701,121,0,keys_aligned
replicate_6,model_3,0.13920554381399414,0.08346991588429754,0.9476332134222032,121,0,keys_aligned
replicate_6,model_4,0.14691554034625742,0.08879860190909089,0.9416718320389774,121,0,keys_aligned
replicate_7,model_0,0.21888377583831511,0.13019566501652893,0.8966462225223162,121,0,keys_aligned
replicate_7,model_1,0.21760041018046075,0.1296153213801653,0.8978546431717245,121,0,keys_aligned
replicate_7,model_2,0.21311457983471985,0.13084878577685952,0.9020226847410954,121,0,keys_aligned
replicate_7,model_3,0.2216113348417889,0.13233131914049587,0.894054345109547,121,0,keys_aligned
replicate_7,model_4,0.22075808437040995,0.12735331901652894,0.8948686008784772,121,0,keys_aligned
replicate_8,model_0,0.2289794071362897,0.12639142022083333,0.842578907798666,120,0,keys_aligned
replicate_8,model_1,0.204443213433232,0.11223904401666666,0.8745081663246155,120,0,keys_aligned
replicate_8,model_2,0.19188014552127985,0.10086085090833334,0.8894572800414787,120,0,keys_aligned
replicate_8,model_3,0.20907878855055625,0.1096002889,0.868752808727182,120,0,keys_aligned
replicate_8,model_4,0.20786874093986496,0.10866128753333332,0.8702676039660701,120,0,keys_aligned
replicate_9,model_0,0.13267383736405514,0.0930071465875,0.9474931814244492,120,0,keys_aligned
replicate_9,model_1,0.15017008153872294,0.09600902846666666,0.9327314669533006,120,0,keys_aligned
replicate_9,model_2,0.1546011906933283,0.09950903757958332,0.9287030761094114,120,0,keys_aligned
replicate_9,model_3,0.1389178009730984,0.0927760244125,0.9424346799379093,120,0,keys_aligned
replicate_9,model_4,0.13772232718916722,0.095057322495,0.9434211873613212,120,0,keys_aligned
